County,Neighborhood,Latitude,Longitude,Cluster Labels
Miami,Allapattah,25.815,-80.224,0
Miami,Arts & Entertainment District,25.799,-80.19,1
Miami,Brickell,25.758,-80.193,1
Miami,Buena Vista,25.813,-80.192,1
Miami,Coconut Grove,25.712,-80.257,2
Miami,Coral Way,25.75,-80.283,1
Miami,Design District,25.813,-80.193,1
Miami,Edgewater,25.802,-80.19,1
Miami,Flagami,25.762,-80.316,1
Miami,Grapeland Heights,25.792,-80.258,1
Miami,Health District,25.7928,80.2099,
Miami,Liberty City,25.832,-80.225,4
Miami,Little Haiti,25.824,-80.191,1
Miami,Little Havana,25.773,-80.215,1
Miami,Lummus Park,25.777,-80.201,1
Miami,Midtown,25.807,-80.193,1
Miami,Overtown,25.787,-80.201,1
Miami,Park West,25.785,-80.193,1
Miami,The Roads,25.756,-80.207,1
Miami,Upper Eastside,25.83,-80.183,1
Miami,Venetian Islands,25.791,-80.161,2
Miami,Virginia Key,25.736,-80.155,3
Miami,West Flagler,25.775,-80.243,1
Miami,Wynwood,25.804,-80.199,1
Miami,Downtown,25.774,-80.193,1
